creator_id,id,title,timestamp,analysis
@smiletojannah,cwOPw3fBMs4,LIVE Q&A With Smile2Jannah (Iftaar Special),1748971381.998775,"{""overall_sentiment_distribution"": {""positive"": 10, ""neutral"": 0, ""negative"": 0}, ""dominant_emotions"": [""joy"", ""love"", ""support""], ""toxic_comment_count"": 0, ""controversy_score"": 0.1, ""key_topics"": [""Ramadan"", ""podcast suggestion"", ""language appreciation"", ""support for content creator""], ""frequent_bias_or_group_mentions"": [""Brother Zeeshan"", ""Brother Ali Dawah"", ""Brother Muhammad Hijab""], ""sarcasm_detected"": false, ""languages_detected"": [""English"", ""Bangla""], ""spam_comment_count"": 1, ""summary"": ""The comment section is overwhelmingly positive, filled with expressions of love, support, and appreciation for the content creator and the content. There's a strong sense of community and shared religious and cultural identity, with no toxicity detected and minimal controversy."", ""title"": ""LIVE Q&A With Smile2Jannah (Iftaar Special)"", ""uploader_id"": ""@smiletojannah""}"
@smiletojannah,dua91-ntjgU,Irishman Gets Revenge on Israeli Soldier,1748971397.916877,"{""overall_sentiment_distribution"": {""positive"": 10, ""neutral"": 2, ""negative"": 8}, ""dominant_emotions"": [""anger"", ""joy"", ""sarcasm""], ""toxic_comment_count"": 5, ""controversy_score"": 0.85, ""key_topics"": [""Free Palestine"", ""Irish support for Palestine"", ""criticism of Israel"", ""Islam and peace"", ""nationalism""], ""frequent_bias_or_group_mentions"": [""Irish"", ""Palestinians"", ""Israel"", ""Muslims"", ""Jews""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""French"", ""Arabic""], ""spam_comment_count"": 0, ""summary"": ""The comment section is highly polarized with strong support for Palestine and Irish solidarity, alongside significant criticism of Israel and accusations of bias. Emotions range from joy and respect to anger and sarcasm, with a notable presence of toxic comments. The discussion is deeply entrenched in political and religious themes, reflecting a high level of controversy."", ""title"": ""Irishman Gets Revenge on Israeli Soldier"", ""uploader_id"": ""@smiletojannah""}"
@smiletojannah,M88UpaT_iio,He Ran Over 72 — Media Defended Him #liverpool,1748971426.495301,"{""overall_sentiment_distribution"": {""positive"": 2, ""neutral"": 3, ""negative"": 25}, ""dominant_emotions"": [""anger"", ""sarcasm"", ""disgust""], ""toxic_comment_count"": 15, ""controversy_score"": 0.9, ""key_topics"": [""media bias"", ""racial and religious discrimination"", ""terrorism"", ""hypocrisy in Western media""], ""frequent_bias_or_group_mentions"": [""Muslims"", ""Christians"", ""Jews"", ""Western media"", ""white people""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""Arabic""], ""spam_comment_count"": 0, ""summary"": ""The comment section is highly polarized and emotionally charged, with a strong focus on criticizing Western media's portrayal of terrorism and racial biases. There's a significant amount of toxicity, sarcasm, and anger, reflecting deep societal divisions and controversies. The comments frequently mention media bias, racial and religious discrimination, and hypocrisy, with a notable presence of sarcasm and calls for justice."", ""title"": ""He Ran Over 72 \u2014 Media Defended Him #liverpool"", ""uploader_id"": ""@smiletojannah""}"
@smiletojannah,yn-IiJODZLc,LIVE Q&A With Smile2Jannah,1748971452.408619,"{""overall_sentiment_distribution"": {""positive"": 4, ""neutral"": 2, ""negative"": 3}, ""dominant_emotions"": [""joy"", ""anger"", ""concern""], ""toxic_comment_count"": 2, ""controversy_score"": 0.65, ""key_topics"": [""religious conversion"", ""debate challenges"", ""censorship on YouTube"", ""Palestinian aid"", ""nasheed music""], ""frequent_bias_or_group_mentions"": [""Muslims"", ""Palestine"", ""Adam Seeker"", ""Muhammad Hijab"", ""Pierce""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""Urdu"", ""Arabic""], ""spam_comment_count"": 1, ""summary"": ""The comment section reflects a mix of religious solidarity, calls for action on Palestinian issues, and challenges for debate. There's a notable presence of joy and concern, alongside some toxicity and sarcasm. The discussion is polarized with a focus on religious and geopolitical topics."", ""title"": ""LIVE Q&A With Smile2Jannah"", ""uploader_id"": ""@smiletojannah""}"
@thedeshbhakt,6DTys4OCPhs,Now Youtube Vs Youtubers? | How Content Creators Are Being Snuffed Out In India | Akash Banerjee,1748971468.815305,"{""overall_sentiment_distribution"": {""positive"": 4, ""neutral"": 2, ""negative"": 10}, ""dominant_emotions"": [""anger"", ""frustration"", ""support"", ""sarcasm""], ""toxic_comment_count"": 5, ""controversy_score"": 0.85, ""key_topics"": [""YouTube's copyright policy"", ""freedom of expression"", ""government and media relations"", ""support for content creators""], ""frequent_bias_or_group_mentions"": [""ANI"", ""Indian government"", ""content creators"", ""Supreme Court of India""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""Hindi""], ""spam_comment_count"": 1, ""summary"": ""The comment section reflects a high level of frustration and anger towards YouTube's copyright policy and its perceived misuse, particularly in India. There's strong support for content creators and calls for action against perceived injustices. The discussion is polarized, with significant mentions of the Indian government and media bias. Sarcasm and toxic comments are present, indicating a heated debate. The community shows solidarity across borders, with a mention of Nepal's stance on digital freedom."", ""title"": ""Now Youtube Vs Youtubers? | How Content Creators Are Being Snuffed Out In India | Akash Banerjee"", ""uploader_id"": ""@thedeshbhakt""}"
@thedeshbhakt,mGjeWrERxPg,How Long Can Pakistani Army Keep Lying To Its Own People About Terror? | Akash Banerjee & Adwaith,1748971484.520454,"{""overall_sentiment_distribution"": {""positive"": 0, ""neutral"": 0, ""negative"": 1}, ""dominant_emotions"": [""anger"", ""concern"", ""frustration""], ""toxic_comment_count"": 0, ""controversy_score"": 0.8, ""key_topics"": [""Pakistan Army"", ""ISI links with terror"", ""freedom of speech in Pakistan""], ""frequent_bias_or_group_mentions"": [""Pakistan"", ""terrorism"", ""state policy""], ""sarcasm_detected"": false, ""languages_detected"": [""English""], ""spam_comment_count"": 0, ""summary"": ""The comment reflects a strong negative sentiment, focusing on concerns about the Pakistan Army and ISI's alleged links with terrorism, and questions the freedom of speech in Pakistan regarding these issues. The controversy score is high, indicating a polarizing topic."", ""title"": ""How Long Can Pakistani Army Keep Lying To Its Own People About Terror? | Akash Banerjee & Adwaith"", ""uploader_id"": ""@thedeshbhakt""}"
@thedeshbhakt,x55BVjUo77U,Why Is Modi Govt Hiding The Truth Of Operation Sindoor?  | SNL with Akash Banerjee,1748971499.308644,"{""overall_sentiment_distribution"": {""positive"": 5, ""neutral"": 3, ""negative"": 15}, ""dominant_emotions"": [""anger"", ""sarcasm"", ""joy"", ""disappointment""], ""toxic_comment_count"": 8, ""controversy_score"": 0.85, ""key_topics"": [""political bias"", ""nationalism"", ""India-Pakistan relations"", ""government criticism"", ""media integrity""], ""frequent_bias_or_group_mentions"": [""Modi"", ""Rahul Gandhi"", ""Pakistan"", ""Indian Army"", ""Deshbhakt""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""Hindi"", ""Urdu""], ""spam_comment_count"": 1, ""summary"": ""The comment section is highly polarized with a strong presence of nationalistic sentiments, criticism towards the government and media, and a notable amount of toxicity. There's a significant level of controversy and emotional engagement, with sarcasm and anger being prevalent. The discussion spans across various political and social issues, reflecting deep divisions and passionate viewpoints."", ""title"": ""Why Is Modi Govt Hiding The Truth Of Operation Sindoor?  | SNL with Akash Banerjee"", ""uploader_id"": ""@thedeshbhakt""}"
@thedeshbhakt,wvBLz5ViSvs,Atul Subhash's Family Waits For Justice (As do thousands others) | 498A | SNL with Akash Banerjee,1748971518.319328,"{""overall_sentiment_distribution"": {""positive"": 3, ""neutral"": 5, ""negative"": 22}, ""dominant_emotions"": [""anger"", ""frustration"", ""sarcasm"", ""despair""], ""toxic_comment_count"": 15, ""controversy_score"": 0.85, ""key_topics"": [""gender-neutral laws"", ""domestic violence"", ""legal system bias"", ""suicide"", ""marriage and divorce"", ""maintenance and alimony"", ""false accusations""], ""frequent_bias_or_group_mentions"": [""men"", ""women"", ""judiciary"", ""government"", ""NGOs""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""Hindi""], ""spam_comment_count"": 2, ""summary"": ""The comment section is highly polarized and emotionally charged, with a strong focus on perceived injustices in the legal system, especially regarding gender-neutral laws, domestic violence, and the treatment of men in divorce and alimony cases. There's a significant amount of frustration and anger directed towards the judiciary and government, with many comments advocating for legal reforms. The presence of sarcasm and toxic comments indicates a deeply contentious discussion, with a notable mention of suicide as a desperate outcome for some individuals facing these issues."", ""title"": ""Atul Subhash's Family Waits For Justice (As do thousands others) | 498A | SNL with Akash Banerjee"", ""uploader_id"": ""@thedeshbhakt""}"
@MuslimSkeptic,APA0htT-AV0,🔥 Wahhabism: Uncovering the Hidden Truth,1748971530.594893,"{""overall_sentiment_distribution"": {""positive"": 0, ""neutral"": 1, ""negative"": 0}, ""dominant_emotions"": [""confusion"", ""suspicion""], ""toxic_comment_count"": 0, ""controversy_score"": 0.5, ""key_topics"": [""religious figures"", ""language barriers"", ""support appeals""], ""frequent_bias_or_group_mentions"": [""ibn abd al wahab"", ""Muslimskeptic""], ""sarcasm_detected"": false, ""languages_detected"": [""English""], ""spam_comment_count"": 1, ""summary"": ""The comment section includes a mix of support appeals and a personal remark indicating confusion or suspicion regarding the content's stance on a religious figure. There's a notable mention of a language barrier and a single instance of spam."", ""title"": ""\ud83d\udd25 Wahhabism: Uncovering the Hidden Truth"", ""uploader_id"": ""@MuslimSkeptic""}"
@MuslimSkeptic,jiLTkhkVwP4,Rabbi Faris Hammadi Has No Shame,1748971546.8892002,"{""overall_sentiment_distribution"": {""positive"": 2, ""neutral"": 1, ""negative"": 21}, ""dominant_emotions"": [""anger"", ""sarcasm"", ""disgust""], ""toxic_comment_count"": 15, ""controversy_score"": 0.9, ""key_topics"": [""religious criticism"", ""political activism"", ""antisemitism"", ""Islamic scholarship"", ""nationalism""], ""frequent_bias_or_group_mentions"": [""Wahhabi"", ""Shia"", ""Israel"", ""UAE"", ""Muslim scholars""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""Arabic""], ""spam_comment_count"": 1, ""summary"": ""The comment section is highly polarized and emotionally charged, with a strong presence of negative sentiments, particularly anger and disgust. There is significant controversy around religious and political topics, with frequent mentions of various Islamic sects and criticism of political stances. Toxicity is prevalent, with a high number of comments exhibiting sarcasm and personal attacks. The discussion also touches on antisemitism and the role of Islamic scholars in contemporary issues."", ""title"": ""Rabbi Faris Hammadi Has No Shame"", ""uploader_id"": ""@MuslimSkeptic""}"
